name,setTime,star,content
張麗芬,6 個月前,5,附近的茶園景觀很美，後面茶園剛好有一排櫻花，櫻花盛開的時候來賞花，因為施肥的季節，蒼蠅會比較多
陳俊誠,1 年前,1,111.4.29（ 五） 茶園已經荒廢了！ 現在的主人應該無心經營，雜草叢生，看不出漂亮的同心圓，所以不用來了！
Yuh Wu,1 年前,4,
SamXue,1 年前,3,已荒廢
陳伯同,2 年前,5,
Jhen,2 年前,3,
shao長樂,3 年前,4,造型同心
劉世龍,3 年前,5,
吳文玲,3 年前,4,
鄭淑娟,3 年前,4,
郭存佑,3 年前,5,
古意,3 年前,3,
陳仁豪,3 年前,2,有創意，不實際，雜草叢生，進出不方便。
朱建樺,4 年前,4,
許金光,4 年前,3,
陳光照,4 年前,4,清馨淡雅
Rae Chiang,4 年前,3,找不到制高點取景
Shih Ke,5 年前,3,
陳力弘,5 年前,3,認真 樸實
柯智雄,5 年前,1,
Sting,5 年前,4,
Chia Wen Chiu,5 年前,4,
淑芬李,5 年前,4,
梁玉娟,5 年前,4,
Gene Lin,5 年前,3,
曾銘棟,5 年前,5,
韋成陳,5 年前,2,
周瑞評,6 年前,4,
趙英全中華,6 年前,5,有創意
