name,setTime,star,content
陳弘偉,1 週前,5,
Ku Fang Lin,1 個月前,5,地方小了点
Chaonan Liang,1 個月前,5,專業技能
阿飛Alife,1 個月前,5,
min wang,1 個月前,5,"第一堂正式的初級馬術課，老板娘很熱情，講解收費，馬場環境都很清楚，而且免費提供護具。就感心！
姚教練的教法很適合我，從最基礎的坐姿，壓浪共振平衡，握疆繩方式，下馬都說明的很仔細，第一堂課很讚，強力推薦！"
張麗,2 個月前,5,
Su Su,2 個月前,4,學騎馬的地方
Irene Liu,2 個月前,1,已經很緊張不知所措了，教練態度又不太耐煩⋯⋯⋯⋯本來很喜歡這間馬場……
陳建宏,4 個月前,5,專業，優質，服務佳。讚
莊小莊,5 個月前,5,
Kimi Weng,6 個月前,5,"專業的教練細心指導與專業知識傳授
是一個很棒的體驗
歡迎大朋友、小朋友來朋馳馬場與馬兒交流"
Shan yi,6 個月前,5,因需求關係選擇了離家100多公里的馬場，從環境的乾淨到教練的細心，都無從挑剔，是很棒的馬術中心！為這趟馬術課程感到值得！衷心感謝馬場工作人員幾天來的指導～❤️❤️❤️
elaine ec,6 個月前,5,專業 服務親切 很棒的地方
高銘謙,7 個月前,5,
陳琇伶,7 個月前,4,空間大。從旁觀察，教練有很認真教學。
Simon Wen,8 個月前,5,
蘭諾兒,10 個月前,5,教練、工作人員都很專業，已買課程，可惜離家稍遠，盡量每週都能上課。
李龍助,10 個月前,5,馬都很漂亮高大挺拔，也有迷你馬，但是只有幾隻而已，每匹馬每天都會洗澡，環境很乾淨，
Scarllet Peng (彭若嘉),10 個月前,5,
ack J,1 年前,5,
孫志強,1 年前,3,
Gary Hou,1 年前,5,室內馬場，參加活動可以讓小朋友體驗騎馬以及瞭解一些馬的知識。
聶靜萍,1 年前,5,很專業的教練，馬匹很俊美！
jackey liang,1 年前,5,北部的人想學騎馬，一定要來這裡，教練會教，馬場環境很好，大推..！
Vincent Tang,1 年前,4,大園居然有馬場可騎馬！佔地廣，還有室內馬場，空間頗大！馬匹洗澡照顧不錯，大人小孩皆有課程可學習騎乘，室內蹓馬無日曬還不錯。
Polly 頗力,1 年前,5,"首次單次體驗20分鐘$2500 主要是學習馬上平衡繞圈圈走路 教練視狀況教波浪（跟著馬移動起伏的時候站起來坐下去）
記得要穿褲子 不過老闆很友善的拿出馬褲說穿得下可以借我們～
老闆跟教練都非常親切 很有趣 馬很溫馴皮毛也照顧的很好發亮！
另外到現場才知道有雙人一日遊$4000體驗是可以騎馬約1小時、學習馬知識、餵馬、洗馬 比較划算～

註：給新手練習的馬都是老的馬比較不任性 所以好好聽教練指導的話很安全的 像是照片的棕色馬波波其實已經是人類的60幾歲了～"
柯瑪黑夫人,1 年前,5,闆娘整個馬場介紹非常詳細，何教練也很細心，環境整潔保持的很好，有機會想再回去包課程。
胖包子,1 年前,5,
楊宜泰,1 年前,5,教練專業用心，闆娘親切
Ron Dc,1 年前,1,
宋銘峯,1 年前,5,有趣的運動。
林貝臻,1 年前,5,"教練人不錯
小馬很可愛"
Angel Tsai,1 年前,5,"很喜歡的地方，馬兒很可愛，這邊的每個人也都很溫暖❤️
很用心在對待跟經營與馬兒們的關係，也不同於一般馬場味道很重，謝謝堅持的每一個人👍 …"
邱家亮,1 年前,5,
HSIN,1 年前,5,自取馬糞一麻布袋$10，順道看漂亮的馬匹 帥😎 …
Sa Ki,1 年前,5,好棒
scout lee,1 年前,5,
Pei AL,1 年前,5,"黃教練真的很優
學4個月，連續假日都來，每個禮拜四堂課，持續到10月已經會發動跑步惹🎉 …"
Lloyd,1 年前,5,友善的環境
LILI NIEN,1 年前,5,
Hsu Cocco,1 年前,4,
maydaymomo Wu,2 年前,5,"教練很有耐心細心解說 場地乾淨也很通風
課程豐富 小朋友很喜歡 結束後馬上說下次還要去騎馬😄 …"
Tatammy Tai,2 年前,5,很棒的夏令營體驗。兒子已說想要買馬哈哈～
游玲芬,2 年前,5,
張煥鈞,2 年前,5,
陳桂龍,2 年前,4,
Chi-Hsuan Chen,2 年前,4,適合所有對馬匹感興趣的人的專業場所。他們為孩子或家庭提供一些活動。團體前來請先預約。騎馬繞圈200NT。
Leo Wei,2 年前,4,
中德系統家具,2 年前,5,教練素質高，環境整齊乾淨，老闆親切。
趙吉,2 年前,5,令人留連忘返的好地方。這裡的老闆、老闆娘親切、教練們認真、馬兒群可愛又漂亮、還有小狗們的好客，這所有的一切讓人有家的感覺，你想學騎馬嗎？這裡是肯定會是你最佳的口袋名單之一！
葉老師,2 年前,5,
劉哲瑋,2 年前,5,
Michael Peng,2 年前,5,
銘泉江,2 年前,5,老闆娘人很好，教練會耐心的一直跟小朋友溝通，想學騎馬運動朋友可以参考
王以如,2 年前,5,
Maguire YU,2 年前,5,非常棒的騎馬體驗。 專業～
國欽陳,2 年前,4,老闆娘很熱心，教練很親切。
陳迦荃,2 年前,5,
陳浤銘,2 年前,5,
曾善美,2 年前,4,
周進杰,3 年前,4,
Flora Chen,3 年前,5,騎馬好好玩，也可以順便認識馬♡
riva h,3 年前,5,
果乾,3 年前,4,
林日昇,3 年前,1,
曾源,3 年前,5,讚
莊寶寶,3 年前,5,很多可愛的馬 適合全家大小逛逛 騎馬
傑盟廣告,3 年前,5,
劉建賓,3 年前,5,馬廄環境整潔，馬兒看得出來都有好的照顧跟訓練，我的教練王耀誼老師，騎馬經驗40年，親切而且專業，還會帶著學生從備馬的基礎開始學起。
陳睦評,3 年前,4,
