name,setTime,star,content
陳宗信,4 週前,5,
意勝黃,1 個月前,5,
陳志明,1 個月前,5,
吳玉珍,1 個月前,5,值得一探
陳盈如,2 個月前,5,
Wyllie Chen,2 個月前,5,清晨散步，享受寧靜莊嚴，感受園林造景的細心，以人為本的精神。
許永騰,3 個月前,5,
王鴻鈞,3 個月前,5,放鬆淨心的好地方
陳永銘,4 個月前,5,
Chang David,5 個月前,5,
Kenny Liu,5 個月前,5,莊嚴淨土，菩提法門
Howard Chen,5 個月前,5,沐浴心靈的好所在
陳美姬,5 個月前,5,
李麗玲,5 個月前,5,很清幽，
陳意婷（法護、寬護）,6 個月前,5,很美，充滿感恩，繼續把愛傳下去，把歡喜佈滿人間❤
Iris Chen,6 個月前,5,遊客絡繹不絕，全家老少咸宜。
蔡依萍,7 個月前,5,
Lin Grace,9 個月前,5,
許乃文,1 年前,5,
王淑貞,1 年前,5,
賜祥和,1 年前,5,
朱冠豪,2 年前,5,意義深遠
Lee Judy,2 年前,5,
林玲玉（CHERRY LIN）,3 年前,5,用心設計的庭園造景。
Ivanka Zvekic,3 年前,5,
YEN HUANG,4 年前,5,十分寧靜
