name,setTime,star,content
Chih Shin Li,2 個月前,5,住了這魔久 現在才知道他是河馬
CHUFENG (跟楓一起去旅行),1 年前,5,"位於博愛街跟汀甫圳交界處
晚上點燈後還蠻有氣氛的！"
