name,setTime,star,content
向進錦,2 週前,5,
林鑫鋒,4 個月前,5,有很多種新鮮水果，草莓、琵琶…等等
H均,4 個月前,5,
Grace Wang,4 個月前,5,枇杷新鮮好吃，老闆很和善
曾靜枝,4 個月前,4,他們的枇杷也不錯～～😋 …
柳宏金,4 個月前,4,
許春鎮,4 個月前,5,
Z Chiu,4 個月前,5,"今年三月初居然還有又大又甜的草莓🍓實在是太幸福了🥰老闆跟老闆娘都很親切好客，一到就先請我們吃剛剛採下來洗好的草莓🤤讓我們迫不及待想趕快去採！這是我第一次秤到快2千台幣，可見這裡的草莓有多令人心動～之前都去苗栗採，總是挑半天才能挑出我滿意的草莓，這裡反而是多到我選擇障礙😂大推薦！！！
心目中第一名🥇的草莓園目前沒有第二😍 …"
王慧宜,5 個月前,5,
王夏宇,5 個月前,4,
Danny Chiang (海綿),5 個月前,5,一次開放一開，三月份入園時草莓量非常充足!
June Lin,5 個月前,4,停車方便 就14道路旁
莊Chuang,5 個月前,5,闆娘服務良好，親切又熱情，草莓大小顆都有，又香又甜！讚啦👍🏾
謝伯鴻,5 個月前,5,
利百佳文旅民宿,5 個月前,5,
陳怡婷,5 個月前,5,"草莓大顆又好吃！重點很便宜
以後採草莓不去大湖了，國姓就很棒了！！"
張家飴,5 個月前,5,草莓又大又好吃，小朋友摘的很開心，老闆服務超好👍 …
王硯慧,6 個月前,5,"228連假的第一天來訪
遊客不多 草莓都又大又美
可以很悠哉的採草莓 又不用人擠人
草莓品質很好 一口咬下滿滿香氣
採完剛好帶到暨南大學野餐
現場賣的枇杷也很甜
值得回購👍"
Arthur Lo (NiceFlight),6 個月前,2,
林麗茹,6 個月前,5,方便停車，草苺又大又多好吃，老闆妹妹很親切
吳漢陽,6 個月前,4,
冰淇淋,6 個月前,4,服務輕切，草莓品質讚！
eliza yi,6 個月前,5,
樂活一生,6 個月前,5,第一次採。 😂😂還不錯。都蠻大顆的 …
潘志宏,6 個月前,5,
王冠文,6 個月前,5,
易晉爵,6 個月前,5,"草莓很多、很漂亮！！數量也多，採的開心
一下就採滿滿了"
Kathy Wang,6 個月前,5,服務很棒的店家，怕客人弄髒鞋，還有提供雨鞋和塑膠套，孩子們採的很開心！
黃貞翔,6 個月前,5,草莓超大顆採草莓比大湖便宜
吳峻瑋,6 個月前,5,
胡可樂,6 個月前,4,
蔡Vivi,6 個月前,5,草莓很大顆很漂亮，而且很甜。
Dora Cheng,6 個月前,5,
summer,6 個月前,5,
Lawrence Lin,6 個月前,5,老闆娘親切，價格實惠
張逸凱,6 個月前,4,
XIN CHEN,6 個月前,5,"老闆娘親切可愛
草莓數量很多"
涂昆銘,7 個月前,5,
Karenchiachien Chung,7 個月前,3,草莓園區寬廣，但是現採真的價格不便宜，但可以體驗採莓樂趣，很吸引小孩子，一不小心可能馬上小朋友多噴幾張～呵
小小豪,7 個月前,5,
詹健欣,7 個月前,5,採收季節未到，帶小孩逛草苺園
NICOLAS LIAO,7 個月前,4,一斤450元...
Chun Lin CHEN,7 個月前,5,
CY Hsieh,7 個月前,5,停車方便，草莓蠻大顆的。一斤450元過年🧧期間嘛！大家開心採草莓🍓 …
陳猴子,7 個月前,5,"雖然老闆說剩不多了
很難採到一箱🈵️

結果….採好採滿了一箱😆
其實認真翻找還是滿多的

然後帶草莓回家忘了帶我的雨傘回家了😂🤣"
Yiting Lin,7 個月前,5,
卓國勇,7 個月前,5,
W小姐,7 個月前,5,
Chaos Rolo,8 個月前,5,
戴廷宇,8 個月前,5,
Jj Gdx,8 個月前,5,
吳文彬,8 個月前,4,
Victoria Courchesne,9 個月前,5,美味的草莓！我們這裡的草莓又大又甜。農場組織得很好，採摘草莓很容易。我會再次回來挑選更多。
呂宇柔,9 個月前,5,"草莓季開始了
草莓香又甜
佔地大
有規劃分區採
果實多
400/斤"
吳代忠,9 個月前,5,
Wang Albert,9 個月前,5,老闆很親切，草莓又大顆，小朋友玩得很開心🥳❤️🍓
Shih Kevin,9 個月前,5,現在11月就可以帶小朋友來採草莓🍓囉！聽老闆說二月份開始就會有好吃多汁又大粒的枇杷。老闆跟老闆娘親切解說，很讚喔！ …
裕文潘,1 年前,3,
鄭石權,1 年前,5,老闆海軍陸戰隊退役，接待客人親切和順！農產品物美價廉！
Artropos Q,1 年前,5,草莓新鮮漂亮
臘腸遊俠鄭都金Z,1 年前,5,老闆很親切 知道我們要現場洗來吃還抓一把送給我們 讚讚
佩玲,1 年前,5,"老板、老板娘親切大方
水果品質優,價錢公道!👍"
Ray L,1 年前,3,草莓大顆，但環境不是太好。
Sue,1 年前,5,
黃景忠,1 年前,5,草莓好吃，老闆娘親切，品項眾多。
Chia-Hung Kan,1 年前,5,草莓蠻大顆的，我們今日採是一斤280元...
鄭慧君,1 年前,5,
Ming Ming,1 年前,5,
兩光獸醫師的碎碎念,1 年前,5,草莓園很大，價格合理，可使用行動支付。
蔡敏雄,1 年前,4,遛小孩好地方，但車位好像不夠多...
