name,setTime,star,content
Herschel Wang,2 年前,4,
陳雨晨,2 年前,4,風化而産生特殊的形狀
張兆郎,3 年前,4,"海水的衝擊力真的很神奇。2019.9.15.
果皮是垃圾垃圾自行帶下山
請勿餵食小動物請勿亂放生
以免破壞生態
請勿亂刻字要有公德心公民素養"
安導,4 年前,3,
