name,setTime,star,content
Chiu-Yen Lu (Lu),1 個月前,5,阿樺教練非常耐心指導，也會隨時注意大家的安全
楊恩恩,1 個月前,5,"店家很熱心
協助保管我們遺漏物品
超讚！！"
柏樺吳,2 個月前,5,教練親切的細心指導👍 讓我這個初學者也很快速的學會站著滑SUP🎉 …
翰翰解說,2 個月前,5,蠻屌的
食做興手,2 個月前,5,教練們超帥！一次就愛上了～～～
Shane Blackledge,7 個月前,5,游泳的海灘和被群山環繞的漂亮照片
035謝沛羽,11 個月前,5,教練很親切
余瑞豪,1 年前,5,第一次體驗sup，由於是約在平日星期一的關係，所以只找到三個朋友一起參加，而原本要5人才能開團的象鼻岩，跟業主討論後，業主也願意幫我們開一個4人團，行前的溝通注意事項也算很完善，在海上也會儘量的幫我們拍美照，讓我們有很美好的體驗，感謝凡人野行，讓我們這些凡人也行💯
廖黎君,1 年前,5,很棒的體驗！教練很親切！
Johnny Chao,1 年前,5,很棒，我很滿意
Mr.余,1 年前,5,教練人很好、價格也還算便宜，而且還有另外的挑戰團可以報名
