name,setTime,star,content
陳志明,6 個月前,5,
黃政榮,7 個月前,5,好茶好喝好親切
姜榮道,1 年前,5,老闆親切好客，茶葉CP值高。
ciso chen,1 年前,5,殷實商家，物美價廉，濃濃的台灣人情味，推👍 …
許珮容,2 年前,5,
世明、李,2 年前,4,
Calvin Lu,2 年前,5,
蔡丙霖,2 年前,5,
陳建宏,2 年前,5,
時吉一文（とっきん）,3 年前,5,期待在台灣多次到建國魚市場採購。有很多當地人，但我想知道他們是否不再在Tamaichi出售它們？
謝金城,3 年前,4,
張磊,3 年前,5,烏龍茶很好喝，價錢實在便宜，老闆還準備Switch寶可夢玩家連線神密盒-大推
Pauline Lu,4 年前,4,茶葉品質好 服務也很好
Halu Chou,4 年前,1,
Chili Lee,5 年前,5,高品質！請問可否寄茶到香港？如果可以，請問怎麼聯絡？
Jan Pan,5 年前,5,
江智賢,5 年前,5,
陳珈娸,5 年前,5,茶葉很實在，物超所值。
潘建國,5 年前,5,
TETSU,7 年前,5,時鐘DJ
張Lei,8 年前,5,高品品質的茶，實在的價格，好喝
