name,setTime,star,content
Kweilan Liu,11 小時前,5,"來手作紙飛機推進器，教學步驟清楚，也有說明要注意的地方和可能損壞的零件，還有教摺紙飛機和如何調整飛行角度，小朋友可以學到一些流體力學的知識，小孩是航空迷，玩得很開心，在炎熱的夏天很適合做為出遊的室內景點。
價格稍高，但體驗不錯，成品滿牢固的。五星評論送兩片備用零件。"
wenchien Tsai,1 天前,5,小朋友很喜歡紙飛機推進器
ho ken,2 天前,5,
XOO XOO,2 天前,5,超喜歡的體驗
Judy chen,3 天前,5,小孩玩的很開心
謝文文,3 天前,5,老師講解很詳細～紙飛機噴射器很好玩～～
Matt Wang,3 天前,5,炎炎夏日很適合帶小朋友來
Jeremy,3 天前,5,很有趣的diy活動，教學的大姊姊也很有耐心！
陳彥文,4 天前,5,小孩很愛的地方
簡麗榛,4 天前,5,"大小孩都喜歡的好去處
手作姊姊超細心"
王上元,4 天前,4,
Joe Wang,4 天前,5,很棒的DIY經驗
sa ja,6 天前,5,
susanna cho,6 天前,5,
張子涵,1 週前,5,DIY手作好好玩
Cyrus Tse,1 週前,5,非常好的親子制作啊！
Brahms Lin,1 週前,5,很棒的地方
yojen lee,1 週前,5,這次預約做了噴砂杯和紙飛機推進器，工作人員都很用心講解，分步驟帶著小孩完成作品，還會講解飛機飛行的原理等，非常適合國小及以上年齡手作的園區，成品質感也很好，有趣又有記念意義。
sunnywind Huang,1 週前,2,"首先 二顆星是給櫃檯的妹妹跟天氣瓶的特別
天氣瓶的解說人員 沒什麼耐心回答問題
如果沒理科實驗概念的人 奉勸不要輕易發問

天氣瓶DIY要預約
10:00 &14:00
一份DIY$400 其實不便宜
今天預約下午場的結果只剩三個名額
我們1家4口，於是預約了三個天氣瓶DIY下午兩點的課程，接電話的店員也問了總共有幾位，我
回答是四位總共是三個做DIY的課程
但是課程開始時，硬是把一桌4人湊成五人一組
總共兩個家庭8人擠在一張桌

其他桌也是有四個人，只做3份DIY的
卻可以四個人坐一組，
甚至有預約沒到的，現場候補的兩個人也坐四人桌，花一樣的錢，結果待遇完全不同，
甚至後面坐的更舒適，老實說 心裏不是滋味，
為了不影響小朋友DIY的雅興跟期待，還是繼續參與課程。

課程中一直說要注意安全，並說明過去小朋友打破玻璃瓶割傷的狀況，如果不小心打破了玻璃的是要造價賠償的。
但我們硬是湊成五人一桌，第五個人也就是我的小孩還坐在走道上，走道上一直來來往往有其他的客人，我的小朋友在做實驗難道安全，電話預約時不曾聽店員說會是湊桌的狀況！加上旁邊其實還是有很多空桌，不了解為什麼不做調整？

建議想去人最好問清楚，且要有耐心
才不會花了錢又受罪"
Chang Laney,1 週前,5,孩子挑選喜歡的商品，手作過程特別專心認真
小娟陳,1 週前,5,寓教愉樂好地方
Jaemon Wu,1 週前,5,"非常適合帶小孩來進行親子手作👍👍👍老師很有耐性, 講解地很仔細☺️大推⭐️"
