name,setTime,star,content
許慶棠Ray,8 個月前,5,
Hsin,3 年前,5,
黎廉,3 年前,5,
bs Fbs,4 年前,5,
陳佳禧,4 年前,5,運動一下
Hao (Hao),5 年前,4,
hsinjr hu,6 年前,3,
Open Sea Swimming junald,6 年前,5,
sheu金滄,6 年前,4,
Jack Shih,6 年前,3,
Irene Wu,6 年前,3,從這個角度看鷹嘴石更明顯
陳竹君,6 年前,4,
Kevin Yu,6 年前,4,登山步道入口標示都不算很清楚，可惜了這些好去處
陳譽壬,6 年前,5,
李蕙芳,6 年前,5,風景優美，步道規劃的很好很適合一家出遊^_^
vic wang,6 年前,5,景一級棒，路好走
