name,setTime,star,content
Budi Natan 陈,7 個月前,5,Champion Tile，1993年公司在這個地區開業時我就在這裡。
Eric Wang,1 年前,5,
EDY junior,2 年前,5,😀 …
陳聰堯,2 年前,3,
許令欽,2 年前,4,深根台灣的企業
洪金榮,2 年前,4,
呂鴻鈞,2 年前,4,
kang sugi,2 年前,5,我在哪里工作
Agung Bago Bago,2 年前,4,好工作
陳源明,2 年前,3,
詹瑞欽,2 年前,4,
Irvan Naza,3 年前,5,
henry Yi,3 年前,5,去冠軍綠概念館真的很划算， 有得吃又有得拿， 小姐也很熱心的介紹與教學
許偉達,3 年前,2,
周ㄚ祺,3 年前,4,
Michelle Lee,3 年前,5,超級棒的解說。很棒的社會企業。
楊淑貞,3 年前,4,
Yudon Xiao,3 年前,4,可以看到各種磁磚的先進技術，想買磁磚值得一看
David Liao,4 年前,3,一般
張Ming,4 年前,5,
江孟航,4 年前,5,
官振然,4 年前,5,
阿樂,4 年前,5,
潘麥麥,4 年前,5,
"窩居我宿,躍居-風字（忘川）",4 年前,5,環保^^
廖芷玉,4 年前,5,
黃志銘,4 年前,5,現場很大，機具齊全，參觀動線清楚。
黃旺坤,4 年前,2,
林宗金,4 年前,3,
何志文,4 年前,4,
mohammad aniq,4 年前,5,頂部
tsungche chen,4 年前,5,
andi dwi,4 年前,5,好的
吳緯忠,4 年前,3,
汝嘉張,4 年前,4,
馮清輝,4 年前,3,
julpha jp,4 年前,5,
極光魔神,4 年前,4,
陳羿龍,4 年前,5,
鍾曜駿,4 年前,5,採預約制，服務不錯，導覽專業!
左榮郎,4 年前,5,
Grace Pao,4 年前,4,
陳磊鑫,4 年前,3,
宋婕妤,4 年前,2,
Zhaochen Peng,4 年前,3,
明澄李,4 年前,5,
陳啓,4 年前,4,
吳嘉修,4 年前,5,
Rony pashter,4 年前,4,
姚光根,5 年前,5,
夜神,5 年前,2,
貓與蟲的遊記生活,5 年前,5,
吳煜有,5 年前,4,
中國殺人王,5 年前,5,
Mamun Salamun,5 年前,5,這家工廠大約有120名印尼工人，包括我在內。
belle Yang,5 年前,4,有規模有品質，全產品全部MIT，來過才知道它的好。
蕭意樺,5 年前,5,
molly Chang,5 年前,5,"專業等級的地方，
很值得來參觀學習。"
葉雯,5 年前,4,
金翼杀手,5 年前,5,
周子龍,5 年前,4,
lois Liu,5 年前,2,尚可
陳忠傑,5 年前,4,
丁丁点,5 年前,5,
Javas Veebe,5 年前,1,
Agus Surya,5 年前,5,
運彩球版賴kuso261217,5 年前,5,
張茗凱,5 年前,2,
Nice and slow,5 年前,1,
Anshor Maulana,5 年前,5,陶瓷畫廊
