name,setTime,star,content
Sapphire Cole 小奈,1 天前,5,
an xu,1 週前,5,
Joel Ong,1 週前,5,
Leo Choi,2 週前,5,很好的體驗👍👍100分
Jason Leung,2 週前,5,
驚小麥,2 週前,5,技術就是好
Neo Chen,3 週前,5,
Kk,3 週前,5,
艾斯奥特曼,3 週前,5,
周佳蓁,4 週前,5,
柏鈞潘,1 個月前,5,
Bread Lin,1 個月前,5,
咖啡店誇張古懂,1 個月前,5,
張哲豪,1 個月前,5,
Oscar Cheung,1 個月前,5,
Taeena Mesa,1 個月前,5,
ALEXIS HENRY,1 個月前,5,
eason lai,1 個月前,5,
石曜維Francis,1 個月前,5,
Alex Chou,1 個月前,5,
紀惠萍,1 個月前,5,
予謙羅,1 個月前,5,
伶陳,2 個月前,5,
鄭旭洋,2 個月前,5,
吳小兵,2 個月前,5,
失心瘋,2 個月前,5,
Saraya Kattil,2 個月前,5,
Hon Fung Lee,2 個月前,5,
沛沛,2 個月前,5,超多刺青
Hoiying Chu,2 個月前,5,非常棒的體驗！我只是路過，看看他們是否可以接受任何預約。很高興他們能夠適應我的日程安排！友好的員工和專業技能！強烈推薦！
雪國,2 個月前,5,
Lung Chan,2 個月前,5,
Cavy Cheung,2 個月前,5,
劉千菱,3 個月前,5,
EVA伊娃,3 個月前,5,
jonathan Leo,3 個月前,5,
jeean Fang,3 個月前,5,
蛋哥,3 個月前,5,
Z Lai,4 個月前,5,
Rachel Wong,4 個月前,5,
陳紫姗校友,4 個月前,5,
Manyuen Cheung,4 個月前,5,
江承璋,4 個月前,5,很棒 很推薦想刺青的人前來
lo wah,4 個月前,5,
王克辰,4 個月前,5,
Jose Enrique Pantoja,4 個月前,5,
謝旻樺,4 個月前,5,刺青是一個消磨時間的好辦法～😂 …
王沛然,4 個月前,5,很棒
Armand Holthouse,4 個月前,5,Got matching tattoos with my sister after an awesome vacation in Taiwan. 小艾 was really good at doing the Miyazaki 宮崎駿 style tattoo. 我推薦給你們來！b
美三信20劉芷妤,4 個月前,5,
簡嘉君,4 個月前,5,
Eric Jaw,4 個月前,3,
JJonnathan,4 個月前,5,
王嘉渝,5 個月前,5,
Tata Wu,5 個月前,5,
kinxing wong,5 個月前,5,
蔡茜茜,5 個月前,5,彩色刺青誒
joey huang,5 個月前,5,
郭志豪,5 個月前,5,
Rio Seetoh,5 個月前,5,這是一次非常好的體驗。那裡的工作人員都非常友好和經驗豐富。他們也都非常有耐心和熟練
Amber Weng,5 個月前,5,
張沛華,5 個月前,5,
Meghan Hopwood,5 個月前,5,
佘雁玲,5 個月前,5,
簡辰洋,5 個月前,5,
金田兄,5 個月前,4,一條 特色功能的 小巷弄！
Law Ying Ying,5 個月前,5,
Tyin Chan,5 個月前,5,
胡惠雯,5 個月前,5,
趙彧瑨,5 個月前,5,
龎文傑,5 個月前,5,
張峻嘉,6 個月前,5,
jia zhen zhang,6 個月前,5,
瑋庭,6 個月前,5,
Miriam Yeung (miriam1999yy),6 個月前,5,
Jo Jo,6 個月前,5,
林昆輝,6 個月前,5,
m.h Tsai (David),6 個月前,4,很多年輕人的地方~
kiss痞子,6 個月前,5,
施驊宸（samuel）,7 個月前,5,阿文好棒棒
33,7 個月前,5,
wei jun chen,8 個月前,5,
達達,8 個月前,5,
碩 Roy,8 個月前,5,
che wei hsu,8 個月前,5,
郁.,8 個月前,5,
郭謝,8 個月前,5,
謝佳君,8 個月前,5,
呸呸子,8 個月前,5,
林雨璇,8 個月前,5,
黃安祿,8 個月前,5,
陳潁嘉,9 個月前,5,
Kelly Yap,9 個月前,5,
Nicho Yo,9 個月前,5,
Jessica Turriziani Shih,9 個月前,5,
Chi Ian,9 個月前,5,
蔡土文,9 個月前,5,
祝三長照車隊,9 個月前,5,
薛雅馨,9 個月前,5,
林俞璇,9 個月前,5,
鹤雨臣,9 個月前,5,
cheniven,9 個月前,5,
吳堃誠,9 個月前,5,
敝姓陳,9 個月前,5,
顏琬庭,9 個月前,5,
陳定宏,9 個月前,5,
江唯喆,9 個月前,5,
Puiyin Fong,9 個月前,5,
Weixi Chan,9 個月前,5,
Jessie Lin,9 個月前,5,
林詩穎,9 個月前,5,
張文端,9 個月前,5,
Ai Fukuyama,10 個月前,5,
施品妤,10 個月前,5,
林慕帆,10 個月前,5,
簡毓卓,10 個月前,5,酷耶
胖胖,10 個月前,5,
Tari chanel,10 個月前,5,
李甜甜,10 個月前,5,
徐璦玟,10 個月前,5,
杜冠賢,10 個月前,5,感謝阿文介紹詳細
瑀桑,10 個月前,5,
蔡昱青,10 個月前,5,
木木,10 個月前,5,阿文棒棒
林佑澤,10 個月前,5,
羅安 AnRo,10 個月前,5,
Ծ‸Ծ,10 個月前,5,
小雷,10 個月前,5,
林佑霖,10 個月前,5,
蘇郁晴,10 個月前,5,
Jocelyne Liu劉宇晴,10 個月前,5,
吳忞恩忞恩媽媽,10 個月前,5,
威廉,10 個月前,5,
Kary Wu,10 個月前,5,
石沁玄,10 個月前,5,
Cynthia Tsai Daily,11 個月前,5,
玩舞招酒,11 個月前,5,
管靜婕,11 個月前,5,
小歪,11 個月前,5,
陳肯,11 個月前,5,
侯盛文,11 個月前,5,阿文很厲害
王佩文,11 個月前,5,
朱家建,11 個月前,5,阿光服務超棒
Weichen Paul,11 個月前,5,
鈞鈞,11 個月前,5,
張昱文,11 個月前,5,
Jessamine,11 個月前,5,
Kevin C,11 個月前,5,
Dein,11 個月前,5,
Ryan王璟立,11 個月前,5,
魯奕廉,11 個月前,5,
林佩玟,11 個月前,5,
劉朝仁,11 個月前,5,
chu hui chang,11 個月前,5,
Chin Ting,11 個月前,5,
劉芸華,11 個月前,5,
王佩,11 個月前,5,
彭星華,11 個月前,5,
eva Wang,11 個月前,5,
喔喔,11 個月前,5,
高恩楷,11 個月前,5,爽
Luo Max,11 個月前,5,
感情都曖昧,11 個月前,5,
吳lena,11 個月前,5,
Karen Charmane Yang,11 個月前,5,
李美盛,11 個月前,5,
66林裕恩,11 個月前,5,
Victoria Yang,11 個月前,5,
菟葆,11 個月前,5,
蔡承睿,11 個月前,5,
zxic,11 個月前,5,好讚，一定要來
蔡彼巴,11 個月前,5,讚！有特色的一條街，，
李耀鳴,11 個月前,5,強調手繪的店家，師傅功力都有一定的水準
Isaac Matere,1 年前,3,
Tina Hall,1 年前,5,找到了一個好地方。工作人員會說英語，友好，熱情，知識淵博，最重要的是耐心。將在 United Tattoo 獲得我的第一個紋身。
Lux,2 年前,1,那裡賣防水紋身嗎？
S Chen,2 年前,4,多間紋身店 但質量還好
蘇煌明,2 年前,5,刺青滿意。
呱仔,2 年前,4,喜歡裡面的店員姊姊！不過價錢報很高 但一輩子的事情 覺得沒關係 就這樣吧！
黃信政,2 年前,5,好看
秉宏,2 年前,4,有特色的小巷，有刺青，有特色服飾，有飲料，有特色帽子專門店，推薦你去逛逛！
呂子聰,2 年前,5,
林博舜,2 年前,5,
WanHsin Huang,2 年前,5,
謝昱德（Miller）,2 年前,5,充滿藝術感我喜歡💙💚❤🖤💛💯💯🙏🏻🙏🏻😁😁👌🏻👌🏻🔥🔥👍🏻👍🏻 …
John Chien,2 年前,3,
趙居悌,2 年前,5,
楊慶文,2 年前,5,因為我很喜歡欣賞紋身
Jason Ding,2 年前,5,
Chia Ju Tsai,3 年前,3,
