name,setTime,star,content
楊德盛,2 個月前,5,
翁慶淵,5 個月前,4,
陳滄偉,7 個月前,5,車子在附近卡住，打電話請求協助，大哥很熱心前來救援，非常感謝🙏 …
劉美秀,8 個月前,5,青翠茶園，美麗晚霞，寧靜夜晚，滿天星星加上不小心看到流星
劉玟君,8 個月前,5,2022、12、3茶香、風景優美、晚上有無敵星空
朱游鴻,11 個月前,5,園主為人熱忱好客，園區內整潔用心植栽，茶樹。又長年有合歡山雲霧，萬大水庫水氣滋養。於此讓人心況神怡高海拔茶園
王玉鳳,1 年前,5,
劉泰貿,1 年前,5,
傅傅春立,2 年前,5,太業製茶農場  純有機茶 甘醇 茶香之美 位在南投仁愛鄉東眼山 讚喔
Amy Lin,2 年前,5,第一次看到這麼乾淨又美麗的茶園，一定要拍好拍滿。謝謝園主~
瑟娟葉,2 年前,5,老師傅做茶真的很好喝歡迎大家來試試
簡贊益,4 年前,5,
黃銘祥,4 年前,5,
劉榮彬,4 年前,5,
陳正治,4 年前,5,專業
羅秉坤,5 年前,5,很棒
