name,setTime,star,content
陳育儀,3 週前,5,
四方,3 週前,4,不出國也可以去看飛機
李俊德,2 個月前,5,
Delfina Lin,3 個月前,3,很粗糙的設計
黃皓明,3 個月前,5,免費看飛機，美食街吃的選擇多
Dennis,6 個月前,5,看飛機的好地方
何文祥,9 個月前,3,
Sheng-Yu Yang,11 個月前,5,
林冠宇,1 年前,5,觀景台所在樓層就有美食街，方便旅客就近用餐後再前往戶外觀賞&拍攝飛機起降的英姿；期待疫情趨緩時重啟對外拍放(2020/8/22中午初訪)
趙偉同,3 年前,5,
Jeff Pu,3 年前,5,旅客觀景的好地方
