name,setTime,star,content
吳聲朋,1 個月前,5,好玩
lan Hung,1 個月前,5,
王俊傑,1 個月前,5,甩尾 👍 …
王韻涵,1 個月前,5,刺激感百分百
王裕元,1 個月前,5,親子同遊。教練很帥
王冠凱,1 個月前,5,好玩
葉華薇,1 個月前,5,帶小朋友來玩很好玩
王云均,1 個月前,5,非常好玩  老闆人幽默親切又貼心  帽子很有造型  一定要搭配槍！！非常好玩  一開始還很怕自己不會  結果玩上癮🤤
徐霏霏,2 個月前,5,"櫃檯人員和教練哥哥都很親切又很熱情，講解也很清楚，超好玩的卡丁車，可以邊開車邊開槍，打到也不會太痛，很適合帶小孩來玩，工作人員都超親切，很推薦包場玩，我們一家三口都可以玩的不亦樂乎，更適合揪團一起來玩！超讚的～～

小小建議安全帽（雖然有給浴帽）和護目眼鏡要消毒清洗或是更換一下～戴起來癢癢的"
蔡承哲,2 個月前,5,很適合親子同樂看大家玩得很開心，原本已經購票，但老婆不舒服，所以只好退票下次再訪，店員人都很Nice 👍🏻 …
陳奕璇,2 個月前,5,好玩
chieh hsu,2 個月前,5,
Jacob Chen,2 個月前,5,帶小孩來體驗好玩
陳益豪,2 個月前,5,挺不錯，教練講解挺詳細，讓我不敢玩的兒子都上路了
梁依蓉,2 個月前,5,好玩
顏竹佑,2 個月前,5,
陳裕凱,2 個月前,5,
May,2 個月前,5,
易耆,3 個月前,2,
賴彥綸,3 個月前,5,
梁雅惠,3 個月前,5,"跟兒子一起玩!!
👍👍"
梁筑菁,3 個月前,5,太好玩了
一李平,3 個月前,5,
劉姝晴,3 個月前,3,
李信賢,3 個月前,5,教練專業，老闆用心
Bert李唯熙,3 個月前,5,親子遊玩的好地方
曾阿華,3 個月前,5,服務很好👌 老闆很帥 …
洪惠文,3 個月前,5,好玩的遊戲場所，適合大小朋友喔！
Johnny Chen,3 個月前,5,小帥哥服務非常好，孩子們玩得很開心
小嵐張,3 個月前,5,勝興車站旁的甩尾場，玩完很方便還可以停車走去老街～很推薦
柯宏睿,3 個月前,5,好玩的卡丁車，值得來玩的景點
chen eva,3 個月前,5,第一次來玩，孩子們超開心，重點老闆們非常親切呢
趙崇欽,3 個月前,5,
微笑女孩W,3 個月前,5,"很刺激好玩！老闆蠻幽默的
還可以玩射擊遊戲"
CC (海を駆ける),4 個月前,5,刺激好玩！
謝小珊,4 個月前,5,每次來苗栗必來的地方，小孩玩的超開心都不想離開了，今天老闆還讓我們帶狗狗體驗，超好玩的❤️
Alan Chang,4 個月前,5,便宜又好玩的地方，帶小孩一定要來試試看，超級划算。
Huang,4 個月前,5,好玩
Mina Lai,4 個月前,5,非常好玩，小孩很開心，大人也超開心🤣🤣 …
103_44 張芸瑄 Sofia,4 個月前,5,
吳小齊,4 個月前,5,👍 …
江宏仁,4 個月前,5,
邱筱雯,4 個月前,5,👍👍👍 …
mountain Chang,4 個月前,5,
蔡佩璟,4 個月前,5,"太好玩了！
射殺爸爸們 好開心😁 …"
smileanny Lin,4 個月前,5,好玩👍👍👍 …
Debby Wang,4 個月前,5,"很好玩耶
邊甩尾邊開槍
超級療癒的
出發前教練會很仔細解說，要注意聽喔！"
Andrea,4 個月前,5,這地方很適合親子遊玩，特別好玩的地方，可以邊開車邊開槍。孩子們都很玩的很開心😁 …
邱大權,4 個月前,5,好玩
詹惠君,4 個月前,5,好好玩
徐佳嘉,5 個月前,5,
呂秉謙,5 個月前,5,讚👍 …
Cheng-Ping Lee,5 個月前,5,好玩對戰刺激！
Emily Lu,5 個月前,5,好玩
Ivy,5 個月前,5,對戰好好玩
林俐婷,5 個月前,5,老闆好會玩，活動好刺激、和小孩玩的很開心，滿滿親子回憶。
Ethan Chen,5 個月前,5,甩尾超刺激 適合一家大小同樂
顏小家,5 個月前,5,
陳虹茹,5 個月前,1,"一群人浩浩蕩蕩早起出發，深感抱歉老闆⋯忘記接過預定電話⋯到達目的地#難過想哭，老闆需要40分鐘才能夠抵達「勝興甩尾場」整趟3輛車15人員工旅遊行程完全被打壞
其實能夠諒解服務業體恤服務業
但是電話確認過？還是這樣發生
重點地點在深山又不是家裡隔壁
不會再給一次機會了"
Gu GU,5 個月前,1,傻眼 前幾天有先打電話預約 還說沒關係當天直接來就好 結果大老遠跑來 休園 老闆自己忘記要營業是不是？☺️
林瑜軒,5 個月前,1,"打電話預約過 跟我們說直接來就好了
當天到現場看到休園 打給他才問我們說有預約嗎？你們有付訂金嗎？說他來要40分鐘
好瞎"
林宛宣,5 個月前,5,老闆服務熱情 很多顧客也能留心注意到其他人的安全 小朋友能一起乘車同遊 親子好去處
艾德華,5 個月前,5,
卓彥良,5 個月前,5,刺激好玩
陳武均,5 個月前,5,老闆好帥
michelle O O,5 個月前,5,小孩熱開懷
許文進,5 個月前,5,好玩
許壹鈜,5 個月前,5,好玩
珊珊,5 個月前,5,好玩
賴政華,5 個月前,5,
YU CHI WANG,6 個月前,5,"老闆極度幽默風趣長的又不小心太帥，有去勝興老街一定要跟朋友來這邊廝殺，絕對一笑泯恩仇，不是哀哀叫就是哈哈笑☺️☺️☺️☺️☺️

阿對了！衣服記得不要穿太多，不然沒FU～"
Rita Lyu,6 個月前,5,玩的很開心~服務親切解說清楚可愛，謝謝。
詹Nathan,6 個月前,4,店家很有創意，甩尾車場蓋在山林裡，路過的人都可以看到，有些小朋友吵著去
江榮華,6 個月前,5,好好玩喔
jean lai,6 個月前,5,老闆很帥
Yu Jie,6 個月前,5,
Chun,6 個月前,5,
劉昱念,6 個月前,5,賽車超好玩😆😆 …
吳泰呈,6 個月前,5,好玩 👍 …
施翎翎,6 個月前,5,好玩！服務棒 ❤️
betty Huh,6 個月前,5,帥哥老版棒，打卡送精美禮物，好玩好玩甩尾場
楊淞介,6 個月前,5,優
陳柏翔,6 個月前,5,教練超帥
黃寶慧,6 個月前,5,好玩
葉政儒,6 個月前,5,
黃佩珊,6 個月前,5,老闆帥
Hao Wei LIN,6 個月前,5,"邊開車邊開槍的感覺太爽了
如果有來苗栗，肯定要體驗

小插曲就是上次在這邊弄丟耳機
工作人員隔了一個禮拜跟我說找到
有把客人的事情放在心上🙌大推！
還幫我出了運費⋯⋯真是太感動了"
賴啟弘,6 個月前,5,車子很棒，老闆人很好，大推👍 …
玉芬曾,6 個月前,5,小朋友很喜歡也玩得很開心
邱添福,7 個月前,1,
Ring Lu,7 個月前,5,超好玩！專程從北部塞車來就是為了玩槍+車！
蕭米,7 個月前,5,超好玩！場地大，大推！下去場地的斜坡很斜，要小心
Rati Fan,7 個月前,5,好玩、安全，可以邊開車邊射擊或是純開車，大人小孩都會覺得有趣的地方
Pinky Liu,7 個月前,5,好玩刺激，裝備戴上後根本看不出來誰是誰，晶彈打到會蠻痛，建議長袖長褲玩較不痛，夏天若短袖來玩應該痛死，我們男女分開2組玩，老闆還加碼讓我們打男生🤣🤣🤣 …
EINA,7 個月前,5,
小妤,7 個月前,5,"一群朋友一起玩很好玩
推薦一定要加槍互射才好玩😂
以後每次去都必去的景點 …"
陳雅苓,7 個月前,5,
王湘伶,7 個月前,5,老闆很nice
罐頭LEO,7 個月前,5,老闆很帥
steven Lee,7 個月前,5,好玩 老闆很有趣
詹子儀,7 個月前,5,服務很好 小小孩也可以同坐
歐曜瑋,7 個月前,4,車子的速度不快，想要體驗速度快感的成人可能會失望。不過可以拿水晶球槍邊開車邊對戰開槍倒是蠻特別的！
陳敬昕,7 個月前,5,很讚的地方，好玩！
銘恩,7 個月前,5,很棒的甩尾廠！！
劉孟君,7 個月前,5,
張繼文,7 個月前,5,甩尾刺激好玩
鄭喬志,7 個月前,5,
GI GI,7 個月前,5,
洪千純,7 個月前,5,超讚👍 …
葉盈妏,7 個月前,5,
王文怡,7 個月前,5,
Yaway Ume,7 個月前,5,勝興車站附近可以親子同遊的好地方，推薦給大家！
張倩美,7 個月前,5,好玩 老闆超棒
李蓋瑞,7 個月前,5,老闆超帥
Dream Shu,7 個月前,5,好玩，玩到小孩不想走
楊佳璿,7 個月前,5,超好玩！下次再來！
潘隆源,7 個月前,5,超好玩～小孩互打唉唉叫～
Lin Lin,7 個月前,5,好玩
不潔的凡塔,8 個月前,5,
金撥撥,8 個月前,5,老闆客氣 子彈無限♾️真的超讚～
Alice Lin,10 個月前,4,"2022/10/26
勝興車站附近的卡丁車
蠻好玩的
店家教學仔細
會跟客人說明在操作卡丁車的眉角
及注意⚠️事項
也會說明操作過當會出現的情況

總之把握老闆的重點（注意⚠️安全）
請勿激烈操駕
享受娛樂、注意安全

其實還是要實際操作遊玩
才能感受卡丁車甩尾樂趣😁😁

實際價格請自行諮詢呦⋯⋯

喜歡～謝謝您🥰🥰
不喜歡～也沒關係👌👌"
Jay Shen,10 個月前,5,給小孩開心對戰
黃先生,10 個月前,5,很好玩
A-tsong Jou,10 個月前,5,馬力十足、操控性佳，場地不大但卻很有樂趣，且每次出發前都確實作好安全教育。是親子、朋友同樂的好地方。
Iris Yang,10 個月前,5,刺激好玩有趣，小孩對於可以自己開車很有成就感，被子彈擊中在身上雖然會痛，但玩得很開心😃 …
Rex Cho,10 個月前,4,好玩的甩尾車場，甩尾車速度合宜，場地也很大可盡情甩尾
Yao Annie,11 個月前,5,
豬頭天,11 個月前,5,刺激好玩
yu-chen Yuan,11 個月前,4,挺刺激的遊戲
Yu Ting Peng,1 年前,5,好好玩的賽車和水晶寶寶槍戰。射到像橡皮筋打到一樣不會很痛，適合小孩玩，我們家十歲哥哥一台小車，爸爸一台大車、我和六歲妹妹一台大車，一共1100，十分鐘，十分值得。玩好剛好下雨還好有玩到。
Jing-Yuan Chen,1 年前,5,天氣涼涼時來，當天沒什麼人，玩得很盡興！
陳俊宏,1 年前,4,好玩
ivy Chen,1 年前,5,水晶槍加甩尾車組合太好玩了
羅宇凡,1 年前,1,人很會記仇
劉士寬,1 年前,5,
Juan Tsai,1 年前,5,"在勝興車站附近，有停車的地方
甩尾配上無限發水晶彈變得超刺激
第一次玩不盡興，又玩了第二次，
平日玩沒什麼人 可以盡情玩樂
教練幽默風趣講解也詳細
等不及下次去玩了🤩"
蔡詠晴,1 年前,5,
MollieWong (MollieWong),1 年前,5,
Ray Ray,1 年前,3,一定要預約
Kenny Bear,1 年前,5,
瑞麟,1 年前,5,
趙軒,1 年前,4,
Abby,1 年前,5,教練很可愛
Yee,1 年前,5,"真的超級好玩又刺激
老闆很親切！講解很仔細！
重點是老闆很帥！！
老！闆！很！帥！！！"
高尚瑋,1 年前,5,很好玩
趙昱翔,1 年前,5,
衝豬誠,1 年前,4,總是沒開
鄭其芳,1 年前,4,老少皆宜，但假日人多，車不便
王竣洋,1 年前,2,教練很有耐心，可惜設備老舊，開到一半壞掉也沒任何補償
Artemis Lin,1 年前,5,槍戰超級好玩～～
Ben Tsai,1 年前,5,人員服務態度親切，場地多彎好甩，車況良好，動力充足！
Stanley Shih,1 年前,5,難以操控卻又安全好玩刺激，10分鐘一場剛好抓到駕駛訣竅，意猶未盡但就是要不會開才好玩，價格也很划算，值得一遊
Eva Wu,1 年前,4,"帶小孩來玩，小車10分鐘200元,安全帽有給內襯但還是覺得太髒了，有點可怕"
Qi Zi,1 年前,4,10分鐘200元 ，蠻好玩的 :) 安全帽髒髒
雷恩,1 年前,5,人多的話卡丁車配水晶寶貝槍對戰超好玩
魏嘉佑,1 年前,4,很好玩
神木,1 年前,5,放鬆&開心的好所在！！
Louis J,1 年前,5,"很好玩 大家一起來最歡樂
老闆很讚 好聊又nice"
Chia Chiachia,1 年前,5,"超棒的體驗！！
斷手教練講解超詳細，非常細心！
甩尾超刺激，馬力很強～
推薦大家來玩！！
建議可以平日來玩，人比較少哦！"
Nico Tseng,1 年前,4,
秦傑,1 年前,5,
紅毛,1 年前,4,
胡慶發,1 年前,5,
蔡宗鎮,1 年前,5,
陳宜君,1 年前,5,教練很有趣
陳鯉魚,1 年前,5,老闆很有趣哈哈哈哈
柯柯,1 年前,5,教練很好笑
黃瑄瑄（Annie）,1 年前,5,教練講解仔細 推薦
正祥Alex,1 年前,4,好玩親子的好地方
M,1 年前,5,"好玩有趣 價格便宜
看起來還好
玩起來非常刺激 👍 …"
Xiang Tang,1 年前,5,刺激好玩
邱小玥,1 年前,5,"蠻好玩的！
教練講解很清楚不會沒耐心又有幽默感🤣 …"
李歐Leo,1 年前,5,Cp值高很好玩
Ming-hsiang Hsueh,1 年前,5,刺激 建議先玩10分鐘 覺得適合再加時
盧建宏,2 年前,4,不錯的用餐環境
王弘揚,2 年前,4,適合年輕人小朋友玩
林贏贏,2 年前,5,"原以為場地不大會沒什麼感覺
不過加入射擊槍戰時真的很好玩😂
無限子彈打起來很爽快
小朋友也有親子車可以坐不用怕他們無法玩
大人小孩都可以玩的地方
去勝興車站又多一個地方可以安排👏🏻
價格合理 服務也很棒～"
李宸宏,2 年前,5,
無所謂,2 年前,4,老闆、工作人員很有耐心的講解、指導，戶外甩尾車唯一選擇
阿豪,2 年前,5,
Frank Tsai,2 年前,3,建議選擇大車，比較不會翻覆
Ni,2 年前,5,甩尾過彎實在刺激😳 只能說太好玩了啦～體驗了飆車的快感！ …
宋俞,2 年前,5,也訂了烤肉，跑了兩趟，大人小孩都很高興
