name,setTime,star,content
唐誫成,4 週前,3,
想說布,1 個月前,1,可以說是沒什麼東西可看，根本就是停車場以及草堆中的遊樂設施，不值得一遊。
Xsu3MOTHER,3 個月前,4,來停車的地方。
黃智勇,6 個月前,5,
潘成,7 個月前,3,戰車在教堂旁，上樓梯右轉即可看到，地標上標的是停車場，不用走過去
Jacob Chen,7 個月前,3,
張建信,7 個月前,3,
rea may seachon,8 個月前,5,
Robyn Boles,8 個月前,4,
婷婷,8 個月前,1,好小
