name,google_url
精英溫泉,https://www.google.com/maps/place/%E7%B2%BE%E8%8B%B1%E6%BA%AB%E6%B3%89/data=!4m7!3m6!1s0x3468c1c16e037115:0x7a0206e57b9e97c5!8m2!3d24.0307864!4d121.1975422!16s%2Fg%2F11bxc45_y2!19sChIJFXEDbsHBaDQRxZeee-UGAno?authuser=0&hl=zh-TW&rclk=1
龍鳳海灘,https://www.google.com/maps/place/%E9%BE%8D%E9%B3%B3%E6%B5%B7%E7%81%98/data=!4m7!3m6!1s0x3469b37217c6ae83:0x7c1714a3917628d7!8m2!3d24.7043686!4d120.8600123!16s%2Fg%2F11c1ngdd1l!19sChIJg67GF3KzaTQR1yh2kaMUF3w?authuser=0&hl=zh-TW&rclk=1
七星潭海岸風景特定區,https://www.google.com/maps/place/%E4%B8%83%E6%98%9F%E6%BD%AD%E6%B5%B7%E5%B2%B8%E9%A2%A8%E6%99%AF%E7%89%B9%E5%AE%9A%E5%8D%80/data=!4m7!3m6!1s0x34689de8602037a5:0x9b5ce482dc0e7554!8m2!3d24.0314268!4d121.6271764!16s%2Fg%2F113f31dgd!19sChIJpTcgYOidaDQRVHUO3ILkXJs?authuser=0&hl=zh-TW&rclk=1
謙桂緣,https://www.google.com/maps/place/%E8%AC%99%E6%A1%82%E7%B7%A3/data=!4m7!3m6!1s0x346e656e3f66fdaf:0x2190932e1009d255!8m2!3d23.060228!4d120.363562!16s%2Fg%2F11t_ksdqzn!19sChIJr_1mP25lbjQRVdIJEC6TkCE?authuser=0&hl=zh-TW&rclk=1
林口．樂活公園/捷運主題公園,https://www.google.com/maps/place/%E6%9E%97%E5%8F%A3%EF%BC%8E%E6%A8%82%E6%B4%BB%E5%85%AC%E5%9C%92%2F%E6%8D%B7%E9%81%8B%E4%B8%BB%E9%A1%8C%E5%85%AC%E5%9C%92/data=!4m7!3m6!1s0x3442a71f7c3f417d:0xebcdf6fe58a7e2de!8m2!3d25.0669884!4d121.3763157!16s%2Fg%2F11c30s7ph_!19sChIJfUE_fB-nQjQR3uKnWP72zes?authuser=0&hl=zh-TW&rclk=1
九宮坑道,https://www.google.com/maps/place/%E4%B9%9D%E5%AE%AE%E5%9D%91%E9%81%93/data=!4m7!3m6!1s0x3414993e88ea9337:0xe8d581d98a2584ab!8m2!3d24.4236761!4d118.2627235!16s%2Fg%2F1tf4bnkp!19sChIJN5PqiD6ZFDQRq4QlitmB1eg?authuser=0&hl=zh-TW&rclk=1
猴探井天空之橋,https://www.google.com/maps/place/%E7%8C%B4%E6%8E%A2%E4%BA%95%E5%A4%A9%E7%A9%BA%E4%B9%8B%E6%A9%8B/data=!4m7!3m6!1s0x346933de55555555:0x477a36ab507659e6!8m2!3d23.9084478!4d120.6315992!16s%2Fg%2F12m99tpp2!19sChIJVVVVVd4zaTQR5ll2UKs2ekc?authuser=0&hl=zh-TW&rclk=1
金門山后民俗文化村,https://www.google.com/maps/place/%E9%87%91%E9%96%80%E5%B1%B1%E5%90%8E%E6%B0%91%E4%BF%97%E6%96%87%E5%8C%96%E6%9D%91/data=!4m7!3m6!1s0x3414bb3000000001:0xf12924a4cf03c34a!8m2!3d24.5038116!4d118.4404129!16s%2Fg%2F1tj3hpnp!19sChIJAQAAADC7FDQRSsMDz6QkKfE?authuser=0&hl=zh-TW&rclk=1
南湖大山南峰,https://www.google.com/maps/place/%E5%8D%97%E6%B9%96%E5%A4%A7%E5%B1%B1%E5%8D%97%E5%B3%B0/data=!4m7!3m6!1s0x3468630d79d61cd7:0x598860aad1ae80d9!8m2!3d24.347557!4d121.435268!16s%2Fg%2F11sk8b7n3z!19sChIJ1xzWeQ1jaDQR2YCu0apgiFk?authuser=0&hl=zh-TW&rclk=1
350-Year-Old Banyan,https://www.google.com/maps/place/350-Year-Old+Banyan/data=!4m7!3m6!1s0x3468026405aa63c1:0xd08112005f9fbd16!8m2!3d24.9842164!4d121.497561!16s%2Fg%2F11bzt9nqw1!19sChIJwWOqBWQCaDQRFr2fXwASgdA?authuser=0&hl=zh-TW&rclk=1
雲夢山丘,https://www.google.com/maps/place/%E9%9B%B2%E5%A4%A2%E5%B1%B1%E4%B8%98/data=!4m7!3m6!1s0x346839ed26d61439:0x323dbfb10bc19f25!8m2!3d24.8199081!4d121.1020233!16s%2Fg%2F11hcj4xrlb!19sChIJORTWJu05aDQRJZ_BC7G_PTI?authuser=0&hl=zh-TW&rclk=1
過港隧道,https://www.google.com/maps/place/%E9%81%8E%E6%B8%AF%E9%9A%A7%E9%81%93/data=!4m7!3m6!1s0x3469ae609541d3c7:0x5ad31dcd66d2f5df!8m2!3d24.5993889!4d120.7252208!16s%2Fg%2F1pzpz4sxf!19sChIJx9NBlWCuaTQR3_XSZs0d01o?authuser=0&hl=zh-TW&rclk=1
獅山砲陣地,https://www.google.com/maps/place/%E7%8D%85%E5%B1%B1%E7%A0%B2%E9%99%A3%E5%9C%B0/data=!4m7!3m6!1s0x3414bb02541a1609:0x7a76e028e8307f51!8m2!3d24.5039528!4d118.4370796!16s%2Fg%2F11x_f171w!19sChIJCRYaVAK7FDQRUX8w6Cjgdno?authuser=0&hl=zh-TW&rclk=1
怪獸百寶村-彰化百寶村,https://www.google.com/maps/place/%E6%80%AA%E7%8D%B8%E7%99%BE%E5%AF%B6%E6%9D%91-%E5%BD%B0%E5%8C%96%E7%99%BE%E5%AF%B6%E6%9D%91/data=!4m7!3m6!1s0x34694ae84b02b967:0x7e3eef37a9bd9779!8m2!3d23.8912738!4d120.4637935!16s%2Fg%2F11b7dzn591!19sChIJZ7kCS-hKaTQReZe9qTfvPn4?authuser=0&hl=zh-TW&rclk=1
鴨寮故事館,https://www.google.com/maps/place/%E9%B4%A8%E5%AF%AE%E6%95%85%E4%BA%8B%E9%A4%A8/data=!4m7!3m6!1s0x3467e67c386e4971:0xf1bb6827f536687e!8m2!3d24.6782628!4d121.8136692!16s%2Fg%2F11b7ynxhrg!19sChIJcUluOHzmZzQRfmg29Sdou_E?authuser=0&hl=zh-TW&rclk=1
內洞國家森林遊樂區觀瀑步道,https://www.google.com/maps/place/%E5%85%A7%E6%B4%9E%E5%9C%8B%E5%AE%B6%E6%A3%AE%E6%9E%97%E9%81%8A%E6%A8%82%E5%8D%80%E8%A7%80%E7%80%91%E6%AD%A5%E9%81%93/data=!4m7!3m6!1s0x3468068f157133e5:0xa47b4e3683bac896!8m2!3d24.8329181!4d121.525881!16s%2Fg%2F1pzsl2j9f!19sChIJ5TNxFY8GaDQRlsi6gzZOe6Q?authuser=0&hl=zh-TW&rclk=1
紅河谷步道,https://www.google.com/maps/place/%E7%B4%85%E6%B2%B3%E8%B0%B7%E6%AD%A5%E9%81%93/data=!4m7!3m6!1s0x346806a0235233e5:0x7e2381d590117e25!8m2!3d24.8843062!4d121.5387734!16s%2Fg%2F1thd4fdv!19sChIJ5TNSI6AGaDQRJX4RkNWBI34?authuser=0&hl=zh-TW&rclk=1
四草綠色隧道,https://www.google.com/maps/place/%E5%9B%9B%E8%8D%89%E7%B6%A0%E8%89%B2%E9%9A%A7%E9%81%93/data=!4m7!3m6!1s0x346dd8eb48884fb7:0x8c40b2d752eb0d86!8m2!3d23.0196399!4d120.1361465!16s%2Fg%2F1vljd22f!19sChIJt0-ISOvYbTQRhg3rUteyQIw?authuser=0&hl=zh-TW&rclk=1
七星柴魚博物館,https://www.google.com/maps/place/%E4%B8%83%E6%98%9F%E6%9F%B4%E9%AD%9A%E5%8D%9A%E7%89%A9%E9%A4%A8/data=!4m7!3m6!1s0x346620a9cb7b1cfb:0x61f187f9d040c179!8m2!3d24.0271713!4d121.6291292!16s%2Fm%2F0w1dwvk!19sChIJ-xx7y6kgZjQRecFA0PmH8WE?authuser=0&hl=zh-TW&rclk=1
彩虹村,https://www.google.com/maps/place/%E5%BD%A9%E8%99%B9%E6%9D%91/data=!4m7!3m6!1s0x34693e87f82595db:0x9a8836cb8c007336!8m2!3d24.1337152!4d120.6098437!16s%2Fg%2F11cls6p_by!19sChIJ25Ul-Ic-aTQRNnMAjMs2iJo?authuser=0&hl=zh-TW&rclk=1
蜊埤湖,https://www.google.com/maps/place/%E8%9C%8A%E5%9F%A4%E6%B9%96/data=!4m7!3m6!1s0x3467e314ba9b3b1d:0xb105a56f08e3133f!8m2!3d24.7553143!4d121.6971855!16s%2Fg%2F12hsy0fdt!19sChIJHTubuhTjZzQRPxPjCG-lBbE?authuser=0&hl=zh-TW&rclk=1
司馬庫斯巨木群,https://www.google.com/maps/place/%E5%8F%B8%E9%A6%AC%E5%BA%AB%E6%96%AF%E5%B7%A8%E6%9C%A8%E7%BE%A4/data=!4m7!3m6!1s0x34686ec341663de3:0x246e2234f8d54a54!8m2!3d24.5751392!4d121.3663543!16s%2Fg%2F1vhkh8k4!19sChIJ4z1mQcNuaDQRVErV-DQibiQ?authuser=0&hl=zh-TW&rclk=1
金車礁溪蘭花園附設動植物生態館,https://www.google.com/maps/place/%E9%87%91%E8%BB%8A%E7%A4%81%E6%BA%AA%E8%98%AD%E8%8A%B1%E5%9C%92%E9%99%84%E8%A8%AD%E5%8B%95%E6%A4%8D%E7%89%A9%E7%94%9F%E6%85%8B%E9%A4%A8/data=!4m7!3m6!1s0x3467fa47d5aae991:0xa4665f9435e75acf!8m2!3d24.8207801!4d121.784266!16s%2Fg%2F12hkh0ghn!19sChIJkemq1Uf6ZzQRz1rnNZRfZqQ?authuser=0&hl=zh-TW&rclk=1
宇老觀景台,https://www.google.com/maps/place/%E5%AE%87%E8%80%81%E8%A7%80%E6%99%AF%E5%8F%B0/data=!4m7!3m6!1s0x34686a8a79a81fc9:0x89c0106de41acbb2!8m2!3d24.667653!4d121.281963!16s%2Fg%2F1w15x5bw!19sChIJyR-oeYpqaDQRsssa5G0QwIk?authuser=0&hl=zh-TW&rclk=1
東石漁人碼頭,https://www.google.com/maps/place/%E6%9D%B1%E7%9F%B3%E6%BC%81%E4%BA%BA%E7%A2%BC%E9%A0%AD/data=!4m7!3m6!1s0x346c27984877e6a3:0x2b32771cf58d476e!8m2!3d23.4487536!4d120.1352728!16s%2Fg%2F11b6yst96b!19sChIJo-Z3SJgnbDQRbkeN9Rx3Mis?authuser=0&hl=zh-TW&rclk=1
信義公園,https://www.google.com/maps/place/%E4%BF%A1%E7%BE%A9%E5%85%AC%E5%9C%92/data=!4m7!3m6!1s0x3442a9272dbe16ed:0xb757b85daed8a854!8m2!3d25.0649186!4d121.4985812!16s%2Fg%2F12hnlt6bm!19sChIJ7Ra-LSepQjQRVKjYrl24V7c?authuser=0&hl=zh-TW&rclk=1
