name,google_url
星座公園,https://www.google.com/maps/place/%E6%98%9F%E5%BA%A7%E5%85%AC%E5%9C%92/data=!4m7!3m6!1s0x345d5305b1fdb5d9:0x641d0f1586c9c68e!8m2!3d25.078854!4d121.666106!16s%2Fg%2F11c6tf667s!19sChIJ2bX9sQVTXTQRjsbJhhUPHWQ?authuser=0&hl=zh-TW&rclk=1
泰安瀑布,https://www.google.com/maps/place/%E6%B3%B0%E5%AE%89%E7%80%91%E5%B8%83/data=!4m7!3m6!1s0x345d53d680c234c9:0x69a8cda4e910d57c!8m2!3d25.0700115!4d121.7168772!16s%2Fg%2F1tngn02j!19sChIJyTTCgNZTXTQRfNUQ6aTNqGk?authuser=0&hl=zh-TW&rclk=1
碇內尖景觀砲台,https://www.google.com/maps/place/%E7%A2%87%E5%85%A7%E5%B0%96%E6%99%AF%E8%A7%80%E7%A0%B2%E5%8F%B0/data=!4m7!3m6!1s0x345d51ca1950c21d:0x10454fdc86c2ed3f!8m2!3d25.0867752!4d121.7594928!16s%2Fg%2F11c1qyp422!19sChIJHcJQGcpRXTQRP-3ChtxPRRA?authuser=0&hl=zh-TW&rclk=1
六堵險圳,https://www.google.com/maps/place/%E5%85%AD%E5%A0%B5%E9%9A%AA%E5%9C%B3/data=!4m7!3m6!1s0x345d523b0438aa1f:0x2394a9dabfe3433f!8m2!3d25.0913576!4d121.7056909!16s%2Fg%2F11cs4fplg6!19sChIJH6o4BDtSXTQRP0Pjv9qplCM?authuser=0&hl=zh-TW&rclk=1
金龍湖,https://www.google.com/maps/place/%E9%87%91%E9%BE%8D%E6%B9%96/data=!4m7!3m6!1s0x345d534b01043c5f:0xf7958359d7fd2355!8m2!3d25.072842!4d121.632037!16s%2Fg%2F155ryc_9!19sChIJXzwEAUtTXTQRVSP911mDlfc?authuser=0&hl=zh-TW&rclk=1
錦帶橋,https://www.google.com/maps/place/%E9%8C%A6%E5%B8%B6%E6%A9%8B/data=!4m7!3m6!1s0x3442aceacc2d36a1:0x397243469c59ff99!8m2!3d25.0809742!4d121.6035153!16s%2Fg%2F11fy7d8pj9!19sChIJoTYtzOqsQjQRmf9ZnEZDcjk?authuser=0&hl=zh-TW&rclk=1
翠湖,https://www.google.com/maps/place/%E7%BF%A0%E6%B9%96/data=!4m7!3m6!1s0x345d532cc5fd4e21:0x44ad89814a32acee!8m2!3d25.0889684!4d121.6290657!16s%2Fg%2F155rlkb5!19sChIJIU79xSxTXTQR7qwySoGJrUQ?authuser=0&hl=zh-TW&rclk=1
大湖公園,https://www.google.com/maps/place/%E5%A4%A7%E6%B9%96%E5%85%AC%E5%9C%92/data=!4m7!3m6!1s0x3442acea866a6e2f:0xb251bab667083c8f!8m2!3d25.0825351!4d121.603164!16s%2Fg%2F155rlkrd!19sChIJL25qhuqsQjQRjzwIZ7a6UbI?authuser=0&hl=zh-TW&rclk=1
同心池,https://www.google.com/maps/place/%E5%90%8C%E5%BF%83%E6%B1%A0/data=!4m7!3m6!1s0x3442acfc05902d75:0xc57192c97a06dc20!8m2!3d25.1005352!4d121.5890372!16s%2Fg%2F11hbgpr140!19sChIJdS2QBfysQjQRINwGesmSccU?authuser=0&hl=zh-TW&rclk=1
圓覺瀑布,https://www.google.com/maps/place/%E5%9C%93%E8%A6%BA%E7%80%91%E5%B8%83/data=!4m7!3m6!1s0x3442ad204ede3b97:0x368a61ba580d6149!8m2!3d25.0975497!4d121.5945882!16s%2Fg%2F12hnbwm5j!19sChIJlzveTiCtQjQRSWENWLphijY?authuser=0&hl=zh-TW&rclk=1
